Project_ID,Client_Name,Service_Type,Start_Date,End_Date,Team_Size,Budget_USD,Project_Status
PRJ-1000,futurewave labs,data engineering,2024-06-01,2024-02-09,5.0,40000.0,completed
PRJ-1001,bluepeak systems,ai development,2024-05-20,2024-01-29,10.0,50000.0,in progress
PRJ-1002,cloudsphere pvt ltd,cloud migration,2024-05-20,2024-03-23,15.0,20000.0,in progress
PRJ-1003,unknown_client,cloud migration,2024-05-20,2024-03-23,12.0,20000.0,delayed
PRJ-1004,futurewave labs,data engineering,2024-05-20,2024-03-23,5.0,20000.0,delayed
PRJ-1005,bluepeak systems,cloud migration,2024-12-02,2024-03-23,10.0,20000.0,completed
PRJ-1006,futurewave labs,ai development,2024-05-20,2024-03-23,10.0,20000.0,in progress
PRJ-1007,cloudsphere pvt ltd,ai development,2024-05-20,2024-03-23,2.0,50000.0,completed
PRJ-1008,unknown_client,data engineering,2024-05-20,2024-02-13,15.0,50000.0,unknown_status
PRJ-1009,bluepeak systems,web-app dev,2024-10-06,2024-03-23,15.0,30000.0,completed
PRJ-1010,cloudsphere pvt ltd,unknown_service,2024-05-20,2024-03-23,12.0,10000.0,completed
PRJ-1011,cloudsphere pvt ltd,web app development,2024-04-11,2024-03-23,15.0,15000.0,in progress
PRJ-1012,bluepeak systems,web-app dev,2024-05-20,2024-03-23,5.0,5000.0,completed
PRJ-1013,futurewave labs,cloud migration,2024-10-05,2024-03-23,10.0,20000.0,completed
PRJ-1014,unknown_client,ai development,2024-05-20,2024-03-23,15.0,20000.0,completed
PRJ-1015,technova corp,cloud migration,2024-05-20,2024-03-23,15.0,5000.0,in progress
PRJ-1016,cloudsphere pvt ltd,web-app dev,2024-05-20,2024-04-07,2.0,50000.0,delayed
PRJ-1017,futurewave labs,web app development,2024-05-20,2024-03-23,2.0,20000.0,delayed
PRJ-1018,technova corp,web app development,2024-05-20,2024-03-23,8.0,20000.0,unknown_status
PRJ-1019,unknown_client,ai development,2024-05-20,2024-03-23,10.0,20000.0,completed
PRJ-1020,technova corp,web app development,2024-06-02,2024-01-30,5.0,30000.0,completed
PRJ-1021,futurewave labs,unknown_service,2024-01-04,2024-03-23,15.0,50000.0,in progress
PRJ-1022,cloudsphere pvt ltd,web app development,2024-05-20,2024-03-23,50.0,20000.0,delayed
PRJ-1023,technova corp,web-app dev,2024-05-20,2024-05-10,15.0,20000.0,completed
PRJ-1024,bluepeak systems,ai development,2024-05-20,2024-03-23,10.0,40000.0,unknown_status
PRJ-1025,futurewave labs,web-app dev,2024-05-20,2024-02-08,8.0,20000.0,in progress
PRJ-1026,bluepeak systems,web-app dev,2024-05-20,2024-03-23,10.0,30000.0,completed
PRJ-1027,cloudsphere pvt ltd,data engineering,2024-05-20,2024-03-23,50.0,5000.0,delayed
PRJ-1028,bluepeak systems,ai development,2024-05-20,2024-03-23,8.0,50000.0,delayed
PRJ-1029,unknown_client,web-app dev,2024-06-05,2024-03-23,12.0,10000.0,in progress
PRJ-1030,bluepeak systems,data engineering,2024-05-20,2024-03-23,10.0,30000.0,delayed
PRJ-1031,futurewave labs,data engineering,2024-05-20,2024-03-23,15.0,20000.0,in progress
PRJ-1032,unknown_client,ai development,2024-05-20,2024-03-23,15.0,50000.0,in progress
PRJ-1033,cloudsphere pvt ltd,cloud migration,2024-05-20,2024-03-23,10.0,40000.0,completed
PRJ-1034,futurewave labs,unknown_service,2024-05-09,2024-03-23,15.0,20000.0,delayed
PRJ-1035,technova corp,web app development,2024-05-06,2024-03-23,5.0,30000.0,delayed
PRJ-1036,bluepeak systems,unknown_service,2024-05-09,2024-03-23,10.0,15000.0,unknown_status
PRJ-1037,cloudsphere pvt ltd,web app development,2024-05-20,2024-07-28,8.0,20000.0,in progress
PRJ-1038,technova corp,web-app dev,2024-05-20,2024-03-25,10.0,10000.0,completed
PRJ-1039,cloudsphere pvt ltd,ai development,2024-05-20,2024-09-10,50.0,5000.0,delayed
PRJ-1040,unknown_client,ai development,2024-05-20,2024-03-23,15.0,30000.0,delayed
PRJ-1041,technova corp,unknown_service,2024-05-20,2024-03-23,5.0,50000.0,in progress
PRJ-1042,bluepeak systems,unknown_service,2024-05-20,2024-03-23,5.0,10000.0,delayed
PRJ-1043,futurewave labs,web-app dev,2024-05-20,2024-03-23,12.0,10000.0,completed
PRJ-1044,cloudsphere pvt ltd,cloud migration,2024-04-06,2024-03-23,8.0,10000.0,completed
PRJ-1003,bluepeak systems,data engineering,2024-05-20,2024-03-23,2.0,20000.0,in progress
PRJ-1010,technova corp,web-app dev,2024-05-20,2024-03-23,2.0,20000.0,in progress
PRJ-1020,bluepeak systems,cloud migration,2024-05-20,2024-03-23,10.0,20000.0,delayed
PRJ-1030,technova corp,data engineering,2024-05-20,2024-03-23,12.0,50000.0,unknown_status
PRJ-1040,cloudsphere pvt ltd,ai development,2024-05-20,2024-03-23,10.0,20000.0,in progress
